taxa_name	pelvic fin	pectoral fin	
Esox lucius	1	1	
Paralichthys olivaceus	?	?	
Hassar orestis	1	1	
Esox americanus	1	1	
Thrissops regleyi	1	1	
Macroparalepis affinis	1	1	
Chiloglanis polypogon	1	1	
Pseudochaenichthys georgianus	1	1	
Chaca chaca	1	1	
Corydoras robineae	1	?	
Xenurobrycon heterodon	1	?	
Gephyroglanis congicus	1	1	
Gogo brevibarbis	1	1	
Wallago attu	1	?	
Roeboides sp. B (Lucena and Menezes 1998)	?	1	
Hara hara	1	1	
Engraulis sp. (Arratia 1999)	1	1	
Nemacheilus insignis	1	1	
Liposarcus sp. (Friel 1994)	?	1	
Pseudobagrus longirostris	1	1	
Saurida brasiliensis	1	1	
Ictalurus balsanus	1	1	
Vitiaziella cubiceps	0	1	
Lefua costata	1	1	
Eumicrotremus asperrimus	?	?	
Omosudis lowii	1	1	
Sturisoma sp. (Friel 1994)	?	1	
Pardiglanis tarabinii	1	1	
Remorina albescens	1	1	
Oreoglanis siamensis	1	1	
Notoglanidium pallidum	1	1	
Thymallus thymallus	1	1	
Pimelodus pictus	1	1	
Cynopotamus tocantinensis	?	1	
Synodontis granulosa	1	1	
Silonia silondia	1	1	
Allocyttus niger	1	1	
Oryzias javanicus	1	1	
Anaethalion sp. (Arratia 1999)	1	1	
Heterobranchus bidorsalis	1	1	
Pseudorhombus arsius	?	?	
Odaxothrissa vittata	?	?	
Pseudomugilidae	?	?	
Thrissops cf. T. formosus (Arratia 1999)	1	1	
Chrysichthys wagenaari	1	1	
Doumea thysi	1	?	
Synodontis clarias	1	1	
Chrysichthys punctatus	1	1	
Hemisorubim platyrhynchos	1	1	
Charax stenopterus	?	1	
Naso unicornis	1	1	
Echeneis neucratoides	1	1	
Pseudotrichonotus altivelis	1	1	
Xyliphius lepturus	?	1	
Paramphilius firestonei	1	?	
Pseudotriacanthus strigilifer	1	1	
Parakneria malaissei	?	?	
Chrysichthys persimilis	1	1	
Chaenocephalus aceratus	1	1	
Ompok anostomus	?	?	
Gelanoglanis stroudi	1	1	
Trachelyopterus galeatus	1	1	
Pachythrissops vectensis	1	1	
Hemibagrus wyckioides	1	1	
Parasudis truculenta	1	1	
Silurichthys phaiosoma	1	1	
Oxyropsis sp. (de Pinna 1993)	1	?	
Benthalbella dentata	1	1	
Helogenes marmoratus	1	1	
Hydrolycus scomberoides	1	1	
Oncorhynchus mykiss	1	1	
Aetapcus	0	1	
Ascalabos voithii	1	1	
Pseudobagrus tenuifurcatus	1	1	
Melanotaeniidae	?	?	
Parakysis verrucosus	1	1	
Corydoras garbei	?	1	
Orthogonikleithrus hoelli	1	1	
Hara jerdoni	1	1	
Zaireichthys rotundiceps	1	1	
Kneria sp. (Grande and Poyato-Ariza 1999)	?	?	
Gambusia vittata	1	?	
Alepisaurus	1	1	
Parauchenoglanis ngamensis	1	1	
Aplocheilidae	?	1	
Mystus bocourti	1	1	
Chrysichthys grandis	1	1	
Parauchenoglanis longiceps	1	1	
Retropinnidae	?	1	
Ctenolucius beani	?	?	
Austroglanis barnardi	1	1	
Sciades proops	1	1	
Chlorophthalmus agassizi	1	1	
Glyptothorax trilineatus	1	1	
Parailia pellucida	1	1	
Glyptothorax fokiensis	1	1	
Oryzias carnaticus	1	1	
Brochis multiradiatus	1	1	
Pimelodella australis	1	1	
Hoplomyzon atrizona	?	1	
Microglanis poecilus	1	1	
Xyliphius kryptos	?	1	
Orthrias tigris	1	1	
Oryzias mekongensis	1	1	
Chrysichthys platycephalus	1	1	
Charitopsis spinosus	?	?	
Triportheus guentheri	?	1	
Chrysichthys longipinnis	1	1	
Parakneria tanzaniae	?	?	
Mystus pelusius	1	1	
Judeichthys haasi	?	?	
Erethistes pusillus	1	1	
Chasmocranus lopezi	1	1	
Amphilius brevis	1	1	
Ictalurus sp. (Fink and Fink 1981)	1	1	
Belonoglanis tenuis	1	1	
Hemibagrus punctatus	1	1	
Ailia coila	1	1	
Cyttus australis	1	1	
Pimelodella sp. B (Bockmann 1998)	1	1	
Zaireichthys zonatus	1	?	
Cetopsidium morenoi	1	1	
Sawbwa resplendens	?	1	
Pollachius virens	1	?	
Prietella phreatophila	1	1	
Bagarius bagarius	1	1	
Phreatobius cisternarum	1	1	
Lycoptera davidi cf. L. tokunagai (Arratia 1999)	1	?	
Genus 7 sp. (Bockmann 1998)	1	1	
Speoplatyrhinus poulsoni	0	1	
Trachyglanis minutus	1	1	
Harpadon nehereus	1	1	
Astroblepus grixalvii	1	1	
Atopochilus savorgnani	1	1	
Oryzias nigrimas	1	1	
Pseudobagrus pratti	1	1	
Hypostomus sp. (de Pinna 1993)	1	?	
Mystus keletius	1	1	
Ompok bimaculatus	1	1	
Chrysichthys ornatus	1	1	
Chirocentrodon bleekerianus	1	?	
Clarias anguillaris	1	?	
Porochilus argenteus	1	?	
Varasichthys ariasi	1	1	
Pseudobagrus microps	1	1	
Amphilius atesuensis	1	1	
Noturus flavus	1	1	
Synodontis schall	1	1	
Noturus stigmosus	1	1	
Amaralia hypsiura	1	1	
Malapterurus microstoma	1	1	
Polymixia lowei	1	1	
Triacanthidae	1	1	
Neoarius pectoralis	1	1	
Parahollardia lineata	1	1	
Cobitis taenia	1	1	
Pseudorhombus oligodon	?	?	
Anaspidoglanis macrostomus	1	1	
Charax pauciradiatus	1	1	
Trogloglanis pattersoni	1	1	
Boulengerella cuvieri	1	1	
Bunocephalus aleuropsis	?	1	
Platichthys stellatus	?	?	
Diplomystes chilensis	1	1	
Gagata sp. (de Pinna 1993)	1	?	
Amblydoras sp. (Friel 1994)	?	1	
Roestes ogilviei	1	1	
Alepisaurus brevirostris	1	1	
Parabothus coarctatus	?	?	
Ageneiosus inermis	1	1	
Paralepis coregonoides	1	1	
cf. Arius macrorhynchus (Kailola 2004)	1	1	
Parailia spiniserrata	1	?	
Ernstichthys anduzei	?	1	
Cromeria occidentalis	?	?	
Charitosomus major	?	?	
Chrysichthys johnelsi	1	1	
Tatia sp. (de Pinna 1993)	1	?	
Laides hexanema	1	1	
Megalonema xanthum	1	?	
Cetopsis motatanensis	1	1	
Neopagetopsis ionah	1	1	
Lepidogalaxiidae	?	1	
Bunocephalus	1	1	
Synodontis depauwi	1	?	
Bathysauropsis malayanus	1	1	
Microsynodontis batesii	1	1	
Sciades dowii	1	1	
Aphredoderus sayanus	1	?	
Hoplomyzon papillatus	?	1	
Hoplias malabaricus	1	1	
Amphilius platychir	1	?	
Chiloglanis batesii	1	1	
Metavelifer	1	1	
Neoarius taylori	1	1	
Leiocassis sp. (Mo 1991)	1	1	
Malapterurus monsembeensis	1	1	
Diplomystes camposensis	1	1	
Scopaeocharax rhinodus	1	?	
Clarias teijsmanni	1	?	
Culaea inconstans	1	1	
Cephalocassis borneensis	1	1	
Neoarius coatesi	1	1	
Chiloglanis congicus	1	1	
Charitosomous lineolatus	1	1	
Pseudauchenipterus nodosus	1	1	
Xenurobrycon polyancistrus	1	?	
Hoplomyzon sp. (Friel 1994)	?	1	
Boulengerella maculata	?	?	
Synodontis acanthomias	1	1	
Auchenoglanis occidentalis	1	1	
Synodontis haugi	1	1	
Pseudeutropius mitchelli	1	1	
Cynodon gibbus	1	1	
Aracanidae	1	1	
Phtheirichthys lineatus	1	1	
Rita rita	1	1	
Neotropius khavalchor	1	1	
Vandellia sp. (Fink and Fink 1981)	1	1	
Nothobranchiidae	?	1	
Ictalurus punctatus	1	1	
Macrurocyttus acanthopodus	1	1	
Atherinidae	?	?	
Pseudeutropius brachypopterus	1	1	
Malapterurus beninensis	1	1	
Brachyrhamdia heteropleura	1	1	
Acestrorhynchus nasutus	1	1	
Hoplomyzon n. sp. (Friel 1994)	?	1	
Exostoma labiatum	1	1	
Kryptopterus macrocephalus	?	?	
Phractura scaphyrhynchura	1	?	
Odontostomops normalops	1	1	
Oreoglanis delacouri	1	1	
Mystus armatus	1	1	
Oryzias marmoratus	1	1	
Chiloglanis macropterus	1	1	
Kneria auriculata	1	?	
Pagetopsis macropterus	1	1	
Spinachia spinachia	1	1	
Hemigrammopetersius barnardi	1	1	
Phractura sp. (Vigliotta 2008)	1	1	
Bathysauropsis gracilis	1	1	
Iksookimia koreensis	1	1	
Amaralia n. sp. (Friel 1994)	?	1	
Erichalcis arcta	?	?	
Cobitis takatsuensis	1	1	
Oryzias dancena	1	1	
Phractura clauseni	1	?	
Tetracamphilius notatus	1	1	
Pseudomystus fuscus	1	?	
Cryodraco atkinsoni	1	?	
Potamarius nelsoni	1	?	
Pterobunocephalus dolichurus	?	1	
Lestidium atlanticum	1	1	
Euchilichthys sp. B (Vigliotta 2008)	1	1	
Ompok goae	?	?	
Pangasius pangasius	1	1	
Parachiloglanis hodgarti	?	1	
Austroglanis sclateri	1	1	
Brustiarius solidus	1	1	
Saurida undosquamis	1	1	
Hiodon tergisus	1	1	
Zeugopterus punctatus	1	1	
Tharsis dubius	1	1	
Schilbe congensis	1	1	
Corydoras bondi	1	1	
Exostoma sp. (de Pinna 1993)	1	?	
Cochlefelis insidiator	1	1	
Porochilus obbesi	1	?	
Bedotiidae	?	?	
Anaethalion cf. A. subovatus (Arratia 1999)	1	1	
Creagrutus hildebrandi	?	?	
Oryzias curvinotus	1	1	
Pseudobagrus aurantiacus	1	1	
Nemapteryx armiger	1	1	
Myctophum obtusirostre	1	1	
Lycoptera cf. L. sinensis (Arratia 1999)	1	?	
Oryzias pectoralis	1	1	
Nanobagrus armatus	1	?	
Pseudobagrus truncatus	1	1	
Coryphaena hippurus	1	1	
Pseudopimelodus schultzi	?	1	
Breitensteinia insignis	1	1	
Lestrolepis intermedia	1	1	
Imparfinis sp. B (Bockmann 1998)	1	1	
Microsynodontis sp. (Vigliotta 2008)	1	1	
Imparfinis sp. (de Pinna 1993)	1	?	
Pterocryptis cochinchinensis	1	?	
Strongylura marina	1	?	
Clarias nieuhofii	1	?	
Kryptopterus bicirrhis	1	?	
Chiloglanis deckenii	1	?	
Wallago sp. (Mo 1991)	1	1	
Akysis sp. (de Pinna 1993)	1	?	
Pseudobunocephalus iheringii	?	1	
Chrysichthys brevibarbis	1	1	
Chaetostoma anomalum	1	1	
Neoplecostomus sp. (de Pinna 1993)	1	?	
Parazen pacificus	1	1	
Leiocassis doriae	1	1	
Engraulis encrasicolus	1	1	
Myoglanis sp. (Bockmann 1998)	1	1	
Telmatherinidae	?	?	
Pareutropius debauwi	1	1	
Pachythrissops propterus	1	1	
Nematistius pectoralis	1	1	
Kneria wittei	1	1	
Cetopsorhamdia sp. n. C (Bockmann 1998)	1	1	
Profundulidae	?	1	
Corydoras sp. (de Pinna 1993)	1	?	
Silurus asotus	1	1	
Euchilichthys royauxi	1	1	
Pseudobunocephalus sp. (Friel 1994)	?	1	
Bagrichthys macropterus	1	1	
Chrysichthys walkeri	1	1	
Ameiurus catus	1	1	
Adrianichthys kruyti	1	1	
Pangio kuhlii	1	1	
Brachyrhamdia meesi	1	1	
Gladioglanis machadoi	1	1	
Potamarius grandoculis	1	?	
Astroblepus festae sp. 2 (Mo 1991)	1	1	
Rhinodoras sp. (Vigliotta 2008)	1	1	
Cephalocassis melanochir	1	1	
Kryptopterus sabanus	?	?	
Scopelarchus analis	1	1	
Lophiobagrus aquilus	1	1	
Synodontis nigrita	1	1	
Allothrissops sp. (Arratia 1999)	1	1	
Pseudobunocephalus bifidus	?	1	
Synodontis contracta	1	1	
Zaireichthys rhodesiensis	1	1	
Misgurnus anguillicaudatus	1	1	
Triacanthodidae	1	1	
Sturisoma lyra	1	1	
Porochilus meraukensis	1	?	
Sudis atrox	1	1	
Pinirampus pirinampu	1	1	
Atherinomorus stipes	1	?	
Trichomycterus taenia	1	1	
Formosania lacustre	1	1	
Melamphaes suborbitalis	1	1	
Schilbe intermedius	1	1	
Xenocharax spilurus	1	1	
Neoarius utarus	1	1	
Triplophysa stoliczkai	1	1	
Austroglanis sp. (de Pinna 1993)	1	?	
Tephrinectes sinensis	?	?	
Platysilurus mucosus	1	?	
Arius manillensis	1	1	
Triportheus albus	1	1	
Luisichthys vinalesensis	1	1	
Cephalosilurus apurensis	1	1	
Chrysichthys sp. 1 (de Pinna 1993)	1	?	
Leptodoras sp. (Friel 1994)	?	1	
Osmeridae	?	1	
Zeugopterus regius	?	1	
Hypoptopoma joberti	1	1	
Goeldiella eques	1	1	
Auchenipterus dentatus	1	1	
Pachythrissops sp. (Arratia 1999)	1	1	
Arius maculatus	1	?	
Parazen	1	?	
Phalacronotus parvanalis	?	?	
Tandanus tandanus	1	1	
Oryzias sinensis	1	1	
Velifer	1	?	
Schistura breviceps	1	1	
Neoarius velutinus	1	1	
Phalacronotus apogon	?	?	
Microstomus achne	?	?	
Elassoma zonatum	1	?	
Hemisilurus moolenburghi	?	?	
Pterodoras sp. (Kailola 2004)	1	1	
Sperata aor	1	1	
Kryptopterus cheveyi	?	?	
Hiodon alosoides	1	1	
Xystreurys liolepis	?	?	
Gonorynchus moseleyi	?	?	
Syacium papillosum	?	?	
Bunocephalus sp. (Mo 1991)	1	1	
Synodontis pleurops	1	1	
Plectrypops lima	1	1	
Crossoloricaria sp. (Armbruster 2004)	1	1	
Zeus faber	1	1	
Mochokiella paynei	1	1	
Teleostei	1	1	
Creagrutus ungulus	?	?	
Acestrorhynchus falcatus	1	1	
Lebiasina provenzanoi	?	1	
Pangio anguillaris	1	1	
Gilbertolus maracaiboensis	?	1	
Creagrutus lepidus	?	?	
Trichomycterus rivulatus	1	1	
Rita chrysea	1	1	
Cynopotamus argenteus	1	1	
Tricuspidalestes caeruleus	1	1	
Bunocephalus verrucosus	?	1	
Wallago maculatus	?	?	
Phractura ansorgii	1	1	
Bunocephalus cf. knerii (Friel 1994)	?	1	
Bagre bagre	1	1	
Trachyglanis sp. (de Pinna 1993)	1	?	
Oryzias nebulosus	1	1	
Remora remora	1	1	
Aulopus filamentosus	1	1	
Synodus scituliceps	1	1	
Orinocodoras eigenmanni	?	1	
Hemibagrus macropterus	1	1	
Amphilius cryptobullatus	1	1	
Glyptothorax laosensis	?	1	
Hyalobagrus ornatus	1	1	
Bagrus ubangensis	1	1	
Leiocassis saravacensis	1	1	
Leiocassis micropogon	1	1	
Bunocephalus n. sp. 5 (Friel 1994)	?	1	
Oryzias bonneorum	1	1	
Mystus malabaricus	1	1	
Ageneiosus ucayalensis	1	1	
Elops hawaiensis	1	1	
Neosilurus sp. 1 (de Pinna 1993)	1	?	
Kryptopterus minor	?	?	
Aspistor hardenbergi	1	1	
Pimelodella altipinnis	1	?	
Neosilurus equinus	1	?	
Lepomis marginatus	1	?	
Hydrolycus wallacei	1	1	
Adrianichthys poptae	1	1	
Merluccius bilinearis	1	?	
Chionodraco hamatus	1	1	
Scopaeocharax atopodus	1	?	
Wallago leerii	?	?	
Rhamdiopsis moreirai	1	1	
Doumea chappuisi	1	?	
Scomberesocidae	?	?	
Chaenodraco wilsoni	1	1	
Exocoetidae	?	?	
Arius arius	1	1	
Remora australis	1	1	
Hemibagrus sabanus	1	1	
Pseudobagarius pseudobagarius	1	1	
Neoscopelus	1	?	
Hippoglossina macrops	?	?	
Synodontis longirostris	1	1	
Pseudomystus siamensis	1	1	
Synodontis rebeli	1	1	
Tatia galaxias	1	1	
Parauchenoglanis monkei	1	1	
Tarphops oligolepis	?	?	
Adrianichthys oophorus	1	1	
Arius madagascariensis	1	?	
Domeykos profetaesis	1	1	
Chionobathyscus dewitti	1	1	
Amblyceps laticeps	?	1	
Liparis agassizii	?	?	
Corydoras osteocarus	1	1	
Acrochordonichthys sp. (de Pinna 1993)	1	?	
Heterobranchus isopterus	1	?	
Chrysichthys maurus	1	1	
Pseudorhombus pentophthalmus	?	?	
Triportheus nematurus	?	1	
Clarias sp. (Fink and Fink 1981)	1	1	
Oryzias hubbsi	1	1	
Decapogon sp. (Schaefer 1987)	?	1	
Glyptothorax platypogon	1	1	
Misgurnus fossilis	1	1	
Bunocephalus coracoideus	1	1	
Bagrichthys hypselopterus	1	1	
Micronema hexapterus	?	?	
Engraulis ringens	1	1	
Nemacheilus savona	1	1	
Pseudomystus inornatus	1	1	
Bathypterois viridensis	1	1	
Genus 12 sp. (Bockmann 1998)	1	1	
Ompok krattensis	?	?	
Melichthys niger	1	?	
Pangasius sp. (de Pinna 1993)	1	?	
Bagrus bajad	1	1	
Clariallabes petricola	1	?	
Petrotyx sanguineus	1	?	
Silurus soldatovi	?	1	
Oryzias matanensis	1	1	
Notoscopelus resplendens	1	1	
Oryzias sarasinorum	1	1	
Gonorynchus sp. (Grande and Poyato-Ariza 1999)	?	?	
Pseudobunocephalus rugosus	?	1	
Clarias meladerma	1	?	
Scopeloberyx robustus	1	?	
Pseudolabrus crassilabris	1	1	
Echeneis naucrates	1	1	
Bathypterois pectinatus	1	1	
Zaireichthys sp. A (Vigliotta 2008)	1	1	
Oryzias latipes	1	1	
Salangidae	?	?	
Pseudopleuronectes herzensteini	?	?	
Bathytyphlops marionae	1	1	
Mystus leucophasis	1	1	
Cromeria nilotica	?	?	
Sargocentron punctatissimum	1	1	
Protoclupea atacamensis	1	1	
Megalodoras uranoscopus	1	1	
Lepidorhombus boscii	1	1	
Hypophthalmus longifilis	1	1	
Clarotes laticeps	1	1	
Cochlefelis danielsi	1	1	
Conta conta	1	1	
Chalceus erythrurus	1	1	
Microglanis sp. (de Pinna 1993)	1	?	
Parauchenoglanis ahli	1	1	
Notoglanidium thomasi	1	1	
Phyllonemus filinemus	1	1	
Amarginops platus	1	1	
Creagrutus lassoi	?	?	
Oryzias minutillus	1	1	
Corydoras septentrionalis	1	1	
Acentronichthys sp. n. B (Bockmann 1998)	1	1	
Pseudomystus stenomus	1	1	
Crossoloricaria venezuelae	1	1	
Pelteobagrus eupogon	1	1	
Liobagrus formosanus	?	1	
Pseudomystus breviceps	1	1	
Lestidiops affinis	1	1	
Parauchenoglanis loennbergi	1	1	
Kryptopterus schilbeides	?	?	
Pseudolaguvia tuberculata	1	1	
Astroblepus festae	1	1	
Scoloplacidae	1	1	
Sisor rabdophorus	1	1	
Plotosus anguillaris	1	1	
Bunocephalus sp. (Friel 1994)	?	1	
Chrysichthys sp. 2 (de Pinna 1993)	1	?	
Cetopsis plumbea	1	1	
Synodontis flavitaeniata	1	?	
Phreatobius sp. 1 (de Pinna 1993)	1	?	
Arius arenarius	1	1	
Roestes sp. (Lucena and Menezes 1998)	?	1	
Lepidorhombus whiffiagonis	1	?	
Astroblepus festae sp. 1 (Mo 1991)	1	1	
Gogangra viridescens	1	1	
Ernstichthys intonsus	?	1	
Chandramara chandramara	1	1	
Tandanus bostocki	1	?	
Ancylopsetta ommata	?	?	
Proeutropiichthys taakree	1	1	
Neosilurus brevidorsalis	1	?	
Corydoras paleatus	?	1	
Rhabdalestes rhodesiensis	1	1	
Panaque sp. (Friel 1994)	?	1	
Charitosomus hakelensis	?	?	
Hippoglossina tetrophthalma	?	?	
Pseudeutropius atherinoides	1	1	
Paralichthys oblongus	?	?	
Sargocentron vexillarium	1	?	
Leiocassis poecilopterus	1	1	
Encheloclarias tapeinopterus	1	?	
Anaethalion knorri	1	1	
Olyra kempi	1	1	
Pseudobagrus brevianalis	1	1	
Oryzias profundicola	1	1	
Exostoma sp. (de Pinna 1996)	?	1	
Astyanax	?	1	
Megalonema sp. (de Pinna 1993)	1	?	
Synodontis unicolor	1	1	
Hexanematichthys sagor	1	1	
Acrochordonichthys rugosus	1	1	
Genidens genidens	1	1	
Hydrocynus cf. brevis (Zanata and Vari 2005)	1	1	
Porochilus rendahli	1	?	
Mochokus niloticus	1	1	
Brustiarius nox	1	1	
Brachyplatystoma vaillantii	1	?	
Remora brachyptera	1	1	
Orthrias panthera	1	1	
Silurus meridionalis	?	1	
Neosilurus ater	1	?	
Poecilopsetta plinthus	?	?	
Anodontiglanis dahli	1	?	
Platystomatichthys sturio	1	1	
Galaxias fasciatus	?	?	
Ictalurus sp. (Mo 1991)	1	1	
Euchiloglanis davidi	1	1	
Ailiichthys punctata	1	1	
Thrissops cephalus	1	1	
Pelotretis flavilatus	?	?	
Scophthalmus rhombus	1	?	
Pangasianodon gigas	1	1	
Agamyxis albomaculatus	1	1	
Hemibagrus planiceps	1	1	
Hemibagrus guttatus	1	1	
Ompok jaynei	?	?	
Oryzias haugiangensis	1	1	
Congiopodus coriaceus	?	?	
Creagrutus melasma	?	?	
Scophthalmus aquosus	1	1	
Pangasius nasutus	1	?	
Coryphaena equiselis	1	1	
Barbatula barbatula	1	1	
Satan eurystomus	1	1	
Cathorops liropus	1	?	
Xyliphius cf. lepturus (Friel 1994)	?	1	
Hygophum macrochir	1	?	
Acestrorhynchus microlepis	1	1	
Clariallabes longicauda	1	?	
Rhamdia laticauda	1	1	
Leptorhamdia sp. (Bockmann 1998)	1	1	
Kryptopterus cryptopterus	?	?	
Cetopsidae sp. (de Pinna 1993)	1	?	
Sciades guatemalensis	1	?	
Phractura sp. (de Pinna 1993)	1	?	
Pagetopsis maculatus	1	1	
Cochlefelis spatula	1	1	
Notacanthus bonaparte	1	?	
Oreosoma atlanticum	1	1	
Champsocephalus gunnari	1	1	
Ompok hypophthalmus	?	?	
Dentatherinidae	?	?	
Paraplotosus albilabris	1	?	
Mystus gulio	1	1	
Netuma thalassina	1	1	
Boraras micros	?	1	
Synodontis gambiensis	1	1	
Citharichthys sordidus	?	?	
Phractura tenuicauda	1	?	
Etropus crossotus	?	?	
Pseudobunocephalus amazonicus	?	1	
Phenacorhamdia sp. C (Bockmann 1998)	1	1	
Euristhmus lepturus	1	?	
Pimelodella sp. A (Bockmann 1998)	1	1	
Reinhardtius hippoglossoides	?	?	
Bunocephalus colombianus	?	1	
Bagrichthys micranodus	1	1	
Pterocryptis anomala	?	?	
Austroglanis gilli	1	1	
Cryodraco antarcticus	1	1	
Pterocryptis taytayensis	?	?	
Roeboides myersii	?	1	
Hoplomyzon cf. papillatus (Friel 1994)	?	1	
Glyptothorax sp. (Friel 1994)	?	1	
Hemibagrus peguensis	1	1	
Thrissops cf. T. subovatus (Arratia 1999)	1	1	
Platyallabes tihoni	1	?	
Acestrorhynchus lacustris	1	1	
Citharichthys xanthostigma	?	?	
Dacodraco hunteri	1	1	
Leptolepis coryphaenoides	1	1	
Bunocephalus amaurus	?	1	
Kryptopterus palembangensis	?	?	
Pleuronectes platessa	?	?	
Bunocephalus knerii	?	1	
Netuma proxima	1	1	
Propimelodus sp. (Mo 1991)	1	1	
Hoplocharax	?	1	
Doras carinatus	1	1	
Genidens planifrons	1	1	
Acestrorhynchus heterolepis	1	1	
Creagrutus maracaiboensis	?	?	
Chiloglanis sp. D (Vigliotta (2008)	1	1	
Galaxias truttaceus	?	?	
Paramphilius trichomycteroides	1	?	
Ompok mysoricus	?	?	
Bunocephalus n. sp. 2 (Friel 1994)	?	1	
Bunocephalus n. sp. 1 (Friel 1994)	?	1	
Synodontis angelica	1	1	
Erethistoides montana	1	1	
Champsocephalus esox	1	?	
Bunocephalus n. sp. 4 (Friel 1994)	?	1	
Cyttus novaezealandiae	1	1	
Epapterus blohmi	1	1	
Lumpenella longirostris	?	?	
Pimelodella sp. n. (Bockmann 1998)	1	1	
Acestrorhynchus falcirostris	1	1	
Leiarius pictus	1	?	
Horaglanis krishnai	1	?	
Pseudobunocephalus lundbergi	?	1	
Bunocephalus larai	?	1	
Parauchenoglanis punctatus	1	1	
Charax gibbosus	?	1	
Creagrutus peruanus	?	?	
Fundulidae	?	1	
Parapimelodus valenciennis	1	?	
Denticetopsis praecox	1	1	
Percopsis omiscomaycus	1	?	
Pseudoplatystoma fasciatum	1	?	
Bagrichthys sp. 2 (de Pinna 1993)	1	?	
Acanthopsetta nadeshnyi	?	?	
Hemibagrus baramensis	1	1	
Ernstichthys megistus	?	1	
Acanthicus hystrix	1	1	
Anadoras grypus	1	1	
Pseudocyttus maculatus	1	1	
Coreobagrus brevicorpus	1	1	
Pseudobagrus emarginatus	1	1	
Pseudobagrus taphraphilus	1	1	
Amarginops hildae	1	1	
Clupeocharax schoutedeni	1	1	
Oryzias timorensis	1	1	
Liobagrus mediadiposalis	?	1	
Chalceus macrolepidotus	1	1	
Hydrolycus tatauaia	1	1	
Amphilius rheophilus	1	?	
Clupisoma prateri	1	?	
Leiocassis similis	1	1	
Bunocephalus n. sp. 3 (Friel 1994)	?	1	
Ompok leiacanthus	1	1	
Pungitius pungitius	1	1	
Silurichthys hasseltii	?	?	
Trachelyopterus coriaceus	1	1	
Plotosus lineatus	1	?	
Leptoglanis sp. (de Pinna 1993)	1	?	
Halecomorphi	1	1	
Alepisaurus ferox	1	1	
Atheresthes evermanni	?	?	
Synodus synodus	1	1	
Bothus podas	?	?	
Xyliphius cf. melanopterus (Friel 1994)	?	1	
Ketengus typus	1	1	
Cathorops hypophthalmus	1	1	
Olivaichthys viedmensis	?	1	
Pseudobunocephalus cf. bifidus (Friel 1994)	?	1	
Mystus cavasius	1	1	
Cetopsis candiru	1	1	
Tatia creutzbergi	1	1	
Loricaria sp. (Friel 1994)	?	1	
Hoplostethus mediterraneus	1	1	
Zacco platypus	1	1	
Acanthocharax microlepis	?	1	
Ceratoglanis scleronema	?	?	
Pylodictis olivaris	1	1	
Neoarius latirostris	1	?	
Aspredinichthys filamentosus	?	1	
Magnisudis atlantica	1	1	
Plectocretacicus clarae	1	1	
Clarias ngamensis	1	?	
Xenurobrycon macropus	1	?	
Paracetopsis bleekeri	1	1	
Plagiopsetta glossa	?	?	
Ameiurus natalis	1	1	
Erethistes sp. (de Pinna 1993)	1	?	
Brachyglanis magoi	1	?	
Zanclorhynchus spinifer	?	?	
Bunocephalus doriae	?	1	
Alertichthys blacki	?	?	
Clariallabes melas	1	?	
Amissidens hainesi	1	1	
Hoplosternum magdalenae	?	1	
Ameiurus sp. (de Pinna 1993)	1	?	
Astroblepus sp. (Fink and Fink 1981)	1	1	
Clarias laeviceps	1	?	
Percopsis	1	?	
Imparfinis sp. A (Bockmann 1998)	1	1	
Poeciliidae	?	1	
Xiurenbagrus xiurenensis	?	1	
Pseudolaguvia ribeiroi	1	1	
Sargocentron tiere	1	?	
Pseudobagrus medianalis	1	1	
Liobagrus anguillicauda	1	1	
Polymixia	1	?	
Kryptopterus mononema	?	?	
Clarias buettikoferi	1	?	
Cyclopsetta panamensis	?	?	
Synodontis brichardi	1	?	
Paralichthyidae	?	1	
Siganus luridus	1	1	
Hydrolycus armatus	1	1	
Neosilurus hyrtlii	1	?	
Brachyrhamdia marthae	1	1	
Ompok malabaricus	?	?	
Plicofollis argyropleuron	1	1	
Brachyplatystoma rousseauxii	1	?	
Paralichthys californicus	?	?	
Noturus gyrinus	1	?	
Bathybagrus graueri	1	1	
Auchenipterus sp. (cuyuni) (Royero 1999)	1	1	
Chrysichthys delhezi	1	1	
Nedystoma novaeguineae	1	1	
Oryzias setnai	1	1	
Cynoglossus nigropinnatus	?	?	
Cryptarius truncatus	1	1	
Imparfinis sp. cf. minutus (Bockman 1998)	1	1	
Phenacorhamdia sp. D (Bockmann 1998)	1	1	
Neoarius graeffei	1	1	
Eutropiichthys vacha	1	1	
Silurichthys indragiriensis	1	?	
Rhamdella longiuscula	1	1	
Eutropius sp. (de Pinna 1993)	1	?	
Tyttocharax sp. B (Weitzman and Fink 1985)	1	?	
Centromochlus heckelii	1	1	
Plicofollis polystaphylodon	1	1	
Hemiarius dioctes	1	1	
Lophiosilurus alexandri	?	1	
Silurichthys sp. (Bornbusch 1991)	?	?	
Pseudopimelodus sp. (Friel 1994)	?	1	
Cnidoglanis macrocephalus	1	?	
Cetopsorhamdia sp. n. B (Bockmann 1998)	1	1	
Clarias theodorae	1	?	
Pterobunocephalus sp. (Friel 1994)	?	1	
Ictalurus meridionalis	1	?	
Creagrutus petilus	?	?	
Cinetodus carinatus	1	1	
Coreobagrus ichikawai	1	1	
